Item,Lista,Formato,Comprado
Aceite de oliva,Cocina,Garrafa 5 L,No
AOVE,Cocina,Botella 1 L,No
Aceite de girasol,Cocina,Botella 1 L (freir),No
Sal,Cocina,Paquete 1 kg,No
Sal de escamas,Cocina,Bote (barbacoa),No
Pimienta,Cocina,Molinillo,No
Pimenton dulce,Cocina,Lata,No
Pimenton picante,Cocina,Lata,No
Comino,Cocina,Bote,No
Canela,Cocina,Bote,No
Nuez moscada,Cocina,Bote,No
Ras el hanout,Cocina,Bote,No
Especias fajita,Cocina,Sobre,No
Oregano,Cocina,Bote,No
Romero,Cocina,Bote,No
Vinagre,Cocina,Botella 1 L,No
Harina,Cocina,Paquete 1 kg,No
Harina de tempura,Cocina,Paquete,No
Red de ajos,Cocina,Ristra/red,No
Ketchup,Cocina,Bote,No
Mostaza,Cocina,Bote,No
Mayonesa,Cocina,Bote,No
Alioli,Cocina,Bote,No
Chimichurri,Cocina,Bote/casero,No
Vino tinto (cocina),Cocina,Botella,No
Vino blanco (cocina),Cocina,Botella,No
Papel vegetal de horno,Cocina,Rollo,No
Papel de aluminio,Cocina,Rollo,No
Carbon para barbacoa,Cocina,Saco,No
Pastillas de encendido,Cocina,Caja,No
Bolsas de congelacion,Cocina,Caja,No
