Fecha,DiaSemana,Momento,Comida,Cocinero,NivelCarne,Notas
2026-08-01,Sabado,Cena,,,,
2026-08-02,Domingo,Almuerzo,,,,
2026-08-02,Domingo,Cena,,,,
2026-08-03,Lunes,Almuerzo,,,,
2026-08-03,Lunes,Cena,,,,
2026-08-04,Martes,Almuerzo,,,,
2026-08-04,Martes,Cena,,,,
2026-08-05,Miercoles,Almuerzo,,,,
2026-08-05,Miercoles,Cena,,,,
2026-08-06,Jueves,Almuerzo,,,,
2026-08-06,Jueves,Cena,,,,
2026-08-07,Viernes,Almuerzo,,,,
2026-08-07,Viernes,Cena,,,,
2026-08-08,Sabado,Almuerzo,,,,
2026-08-08,Sabado,Cena,,,,
2026-08-09,Domingo,Almuerzo,,,,
2026-08-09,Domingo,Cena,,,,
