Ingrediente,Categoria,Unidad,EsBasico,ListaBasico
Pollo troceado,Carniceria,g,No,
Pollo en tiras,Carniceria,g,No,
Alitas de pollo,Carniceria,g,No,
Carne picada de ternera,Carniceria,g,No,
Filetes de ternera,Carniceria,g,No,
Entrecot de vaca,Carniceria,g,No,
Costillas de cerdo,Carniceria,g,No,
Lomo de cerdo,Carniceria,g,No,
Pinchitos,Carniceria,g,No,
Chuletas de cerdo,Carniceria,g,No,
Aguja de vaca,Carniceria,g,No,
Carrillera de ternera,Carniceria,g,No,
Presa de cerdo,Carniceria,g,No,
Secreto de cerdo,Carniceria,g,No,
Pluma de cerdo,Carniceria,g,No,
Chuleton de buey,Carniceria,g,No,
Chuletas de cordero,Carniceria,g,No,
Chorizo,Charcuteria,g,No,
Chorizo parrilla,Charcuteria,g,No,
Morcilla,Charcuteria,g,No,
Longaniza,Charcuteria,g,No,
Panceta,Charcuteria,g,No,
Bacon,Charcuteria,g,No,
Salchichas,Charcuteria,g,No,
Chistorra,Charcuteria,g,No,
Jamon serrano,Charcuteria,g,No,
Jamon cocido,Charcuteria,g,No,
Salami/pepperoni,Charcuteria,g,No,
Boquerones,Pescaderia,g,No,
Calamar,Pescaderia,g,No,
Rosada,Pescaderia,g,No,
Cazon,Pescaderia,g,No,
Gambas/langostinos,Pescaderia,g,No,
Mejillones,Pescaderia,g,No,
Almejas,Pescaderia,g,No,
Berenjena,Fruteria,g,No,
Patata,Fruteria,g,No,
Cebolla,Fruteria,g,No,
Cebolleta,Fruteria,g,No,
Pimiento rojo,Fruteria,g,No,
Pimiento verde,Fruteria,g,No,
Zanahoria,Fruteria,g,No,
Calabacin,Fruteria,g,No,
Tomate,Fruteria,g,No,
Tomate maduro,Fruteria,g,No,
Ajo,Fruteria,g,Si,Cocina
Champinones,Fruteria,g,No,
Lechuga,Fruteria,g,No,
Limon,Fruteria,ud,No,
Mazorcas,Fruteria,ud,No,
Perejil,Fruteria,g,No,
Pan,Panaderia,g,No,
Pan del dia anterior,Panaderia,g,No,
Pan de hamburguesa,Panaderia,ud,No,
Masa de pizza,Panaderia,g,No,
Tortillas de trigo,Panaderia,ud,No,
Leche,Lacteos,ml,No,
Mantequilla,Lacteos,g,No,
Queso rallado,Lacteos,g,No,
Mozzarella,Lacteos,g,No,
Queso en lonchas,Lacteos,g,No,
Nata agria,Lacteos,g,No,
Huevo,Lacteos,ud,No,
Arroz,Despensa,g,No,
Semola couscous,Despensa,g,No,
Garbanzos cocidos,Despensa,g,No,
Alubias rojas cocidas,Despensa,g,No,
Lata de maiz,Despensa,g,No,
Pasas,Despensa,g,No,
Caldo de pollo,Despensa,ml,No,
Caldo de carne,Despensa,ml,No,
Caldo de pescado,Despensa,ml,No,
Azafran,Despensa,g,Si,Cocina
Tomate natural,Despensa,g,No,
Tomate tamizado,Despensa,g,No,
Tomate frito,Despensa,g,No,
Guacamole,Despensa,g,No,
Pimiento morron asado,Despensa,g,No,
Aceitunas negras,Despensa,g,No,
Pepinillos,Despensa,g,No,
Harina,Despensa,g,Si,Cocina
Harina de freir,Despensa,g,Si,Cocina
Aceite de oliva,Despensa,ml,Si,Cocina
AOVE,Despensa,ml,Si,Cocina
Aceite de girasol,Despensa,ml,Si,Cocina
Vinagre,Despensa,ml,Si,Cocina
Pimenton,Despensa,g,Si,Cocina
Pimenton picante,Despensa,g,Si,Cocina
Comino,Despensa,g,Si,Cocina
Canela,Despensa,g,Si,Cocina
Nuez moscada,Despensa,g,Si,Cocina
Ras el hanout,Despensa,g,Si,Cocina
Especias fajita,Despensa,g,Si,Cocina
Oregano,Despensa,g,Si,Cocina
Jengibre,Despensa,g,Si,Cocina
Curcuma,Despensa,g,Si,Cocina
Romero,Despensa,g,Si,Cocina
Sal,Despensa,g,Si,Cocina
Sal gorda,Despensa,g,Si,Cocina
Sal de escamas,Despensa,g,Si,Cocina
Pimienta,Despensa,g,Si,Cocina
Ketchup,Despensa,g,Si,Cocina
Mostaza,Despensa,g,Si,Cocina
Mayonesa,Despensa,g,Si,Cocina
Alioli,Despensa,g,Si,Cocina
Chimichurri,Despensa,g,Si,Cocina
Vino tinto,Bebidas,ml,Si,Cocina
Vino blanco,Bebidas,ml,Si,Cocina
Guisantes,Congelados,g,No,
Patatas congeladas,Congelados,g,No,
