Categoria,Ingrediente,Cantidad,Unidad,CantidadLegible,Comprado,Notas
Fruteria,Berenjena,3100,g,3.1 kg,No,
Fruteria,Calabacin,1860,g,1.86 kg,No,
Fruteria,Cebolla,7440,g,7.44 kg,No,
Fruteria,Cebolleta,620,g,620 g,No,
Fruteria,Champinones,465,g,465 g,No,
Fruteria,Lechuga,775,g,775 g,No,
Fruteria,Limon,11.6,ud,12 ud,No,
Fruteria,Mazorcas,15.5,ud,16 ud,No,
Fruteria,Patata,8525,g,8.53 kg,No,
Fruteria,Perejil,15.5,g,15.5 g,No,
Fruteria,Pimiento rojo,3720,g,3.72 kg,No,
Fruteria,Pimiento verde,4650,g,4.65 kg,No,
Fruteria,Tomate,1240,g,1.24 kg,No,
Fruteria,Tomate maduro,3875,g,3.88 kg,No,
Fruteria,Zanahoria,930,g,930 g,No,
Carniceria,Alitas de pollo,1395,g,1.4 kg,No,
Carniceria,Carne picada de ternera,7440,g,7.44 kg,No,
Carniceria,Costillas de cerdo,1705,g,1.71 kg,No,
Carniceria,Entrecot de vaca,2015,g,2.02 kg,No,
Carniceria,Filetes de ternera,2790,g,2.79 kg,No,
Carniceria,Lomo de cerdo,1240,g,1.24 kg,No,
Carniceria,Pinchitos,1085,g,1.08 kg,No,
Carniceria,Pollo en tiras,2325,g,2.33 kg,No,
Carniceria,Pollo troceado,10075,g,10.07 kg,No,
Charcuteria,Bacon,465,g,465 g,No,
Charcuteria,Chistorra,620,g,620 g,No,
Charcuteria,Chorizo,1860,g,1.86 kg,No,
Charcuteria,Chorizo parrilla,1085,g,1.08 kg,No,
Charcuteria,Jamon cocido,465,g,465 g,No,
Charcuteria,Jamon serrano,542.5,g,542.5 g,No,
Charcuteria,Longaniza,775,g,775 g,No,
Charcuteria,Morcilla,1240,g,1.24 kg,No,
Charcuteria,Panceta,1240,g,1.24 kg,No,
Charcuteria,Salami/pepperoni,387.5,g,387.5 g,No,
Pescaderia,Boquerones,1240,g,1.24 kg,No,
Pescaderia,Calamar,1240,g,1.24 kg,No,
Pescaderia,Cazon,1085,g,1.08 kg,No,
Pescaderia,Rosada,1085,g,1.08 kg,No,
Panaderia,Masa de pizza,2325,g,2.33 kg,No,
Panaderia,Pan,3410,g,3.41 kg,No,
Panaderia,Pan de hamburguesa,23.2,ud,24 ud,No,
Panaderia,Pan del dia anterior,1860,g,1.86 kg,No,
Panaderia,Tortillas de trigo,31,ud,31 ud,No,
Lacteos,Huevo,58.1,ud,59 ud,No,
Lacteos,Leche,2325,ml,2.33 L,No,
Lacteos,Mantequilla,232.5,g,232.5 g,No,
Lacteos,Mozzarella,1240,g,1.24 kg,No,
Lacteos,Nata agria,465,g,465 g,No,
Lacteos,Queso en lonchas,310,g,310 g,No,
Lacteos,Queso rallado,852.5,g,852.5 g,No,
Congelados,Guisantes,465,g,465 g,No,
Congelados,Patatas congeladas,2325,g,2.33 kg,No,
Despensa,Aceitunas negras,232.5,g,232.5 g,No,
Despensa,Alubias rojas cocidas,1240,g,1.24 kg,No,
Despensa,Arroz,2480,g,2.48 kg,No,
Despensa,Caldo de carne,775,ml,775 ml,No,
Despensa,Caldo de pollo,6200,ml,6.2 L,No,
Despensa,Garbanzos cocidos,775,g,775 g,No,
Despensa,Guacamole,465,g,465 g,No,
Despensa,Lata de maiz,465,g,465 g,No,
Despensa,Pasas,232.5,g,232.5 g,No,
Despensa,Pepinillos,232.5,g,232.5 g,No,
Despensa,Semola couscous,1395,g,1.4 kg,No,
Despensa,Tomate frito,1860,g,1.86 kg,No,
Despensa,Tomate natural,3565,g,3.56 kg,No,
Despensa,Tomate tamizado,2015,g,2.02 kg,No,
